freq	gra abs	gra scat	sil abs	sil scat
1.453400000000000e-1	1.710000000000000e-22	8.499999999999998e-23	1.910000000000000e-23	4.960000000000000e-23
1.497500000000000e-1	1.770000000000000e-22	8.620000000000000e-23	2.000000000000000e-23	5.230000000000000e-23
1.542900000000000e-1	1.830000000000000e-22	8.730000000000000e-23	2.080000000000000e-23	5.480000000000000e-23
1.589800000000000e-1	1.890000000000000e-22	8.840000000000000e-23	2.160000000000000e-23	5.740000000000000e-23
1.638000000000000e-1	1.950000000000000e-22	8.950000000000000e-23	2.240000000000000e-23	6.009999999999999e-23
1.687800000000000e-1	2.020000000000000e-22	9.070000000000000e-23	2.330000000000000e-23	6.300000000000000e-23
1.739000000000000e-1	2.080000000000000e-22	9.190000000000000e-23	2.430000000000000e-23	6.589999999999999e-23
1.791800000000000e-1	2.150000000000000e-22	9.310000000000000e-23	2.540000000000000e-23	6.889999999999999e-23
1.846200000000000e-1	2.220000000000000e-22	9.440000000000000e-23	2.650000000000000e-23	7.210000000000000e-23
1.902200000000000e-1	2.290000000000000e-22	9.570000000000000e-23	2.750000000000000e-23	7.520000000000000e-23
1.960000000000000e-1	2.370000000000000e-22	9.720000000000000e-23	2.860000000000000e-23	7.809999999999998e-23
2.019500000000000e-1	2.440000000000000e-22	9.870000000000000e-23	2.970000000000000e-23	8.109999999999998e-23
2.080900000000000e-1	2.520000000000000e-22	1.000000000000000e-22	3.080000000000000e-23	8.430000000000000e-23
2.144000000000000e-1	2.590000000000000e-22	1.020000000000000e-22	3.210000000000000e-23	8.759999999999998e-23
2.209100000000000e-1	2.670000000000000e-22	1.040000000000000e-22	3.340000000000000e-23	9.110000000000000e-23
2.276200000000000e-1	2.750000000000000e-22	1.050000000000000e-22	3.480000000000000e-23	9.460000000000000e-23
2.345300000000000e-1	2.830000000000000e-22	1.070000000000000e-22	3.620000000000000e-23	9.830000000000000e-23
2.440000000000000e-1	2.920000000000000e-22	1.100000000000000e-22	3.800000000000000e-23	1.030000000000000e-22
2.513600000000000e-1	3.000000000000000e-22	1.130000000000000e-22	3.950000000000000e-23	1.070000000000000e-22
2.565400000000000e-1	3.050000000000000e-22	1.150000000000000e-22	4.050000000000000e-23	1.090000000000000e-22
2.643300000000000e-1	3.130000000000000e-22	1.180000000000000e-22	4.200000000000000e-23	1.130000000000000e-22
2.723500000000000e-1	3.210000000000000e-22	1.210000000000000e-22	4.350000000000000e-23	1.170000000000000e-22
2.806200000000000e-1	3.300000000000000e-22	1.260000000000000e-22	4.509999999999999e-23	1.210000000000000e-22
2.891400000000000e-1	3.390000000000000e-22	1.300000000000000e-22	4.670000000000000e-23	1.250000000000000e-22
2.979200000000000e-1	3.480000000000000e-22	1.350000000000000e-22	4.840000000000000e-23	1.290000000000000e-22
3.069600000000000e-1	3.590000000000000e-22	1.410000000000000e-22	5.010000000000000e-23	1.330000000000000e-22
3.162800000000000e-1	3.700000000000000e-22	1.480000000000000e-22	5.190000000000000e-23	1.380000000000000e-22
3.258800000000000e-1	3.810000000000000e-22	1.560000000000000e-22	5.370000000000000e-23	1.420000000000000e-22
3.357700000000000e-1	3.980000000000000e-22	1.640000000000000e-22	5.549999999999999e-23	1.470000000000000e-22
3.459700000000000e-1	4.210000000000000e-22	1.730000000000000e-22	5.710000000000000e-23	1.520000000000000e-22
3.564700000000000e-1	4.460000000000000e-22	1.820000000000000e-22	5.879999999999999e-23	1.580000000000000e-22
3.672900000000000e-1	4.730000000000000e-22	1.920000000000000e-22	6.049999999999999e-23	1.630000000000000e-22
3.784400000000000e-1	5.130000000000000e-22	1.920000000000000e-22	6.300000000000000e-23	1.690000000000000e-22
3.899300000000000e-1	5.650000000000000e-22	1.870000000000000e-22	6.600000000000000e-23	1.760000000000000e-22
4.017700000000000e-1	6.219999999999999e-22	1.820000000000000e-22	6.910000000000000e-23	1.830000000000000e-22
4.139600000000000e-1	6.850000000000000e-22	1.770000000000000e-22	7.240000000000000e-23	1.900000000000000e-22
4.265300000000000e-1	6.530000000000000e-22	1.550000000000000e-22	8.340000000000000e-23	1.930000000000000e-22
4.394800000000000e-1	6.069999999999999e-22	1.320000000000000e-22	9.779999999999998e-23	1.950000000000000e-22
