VAR1	VAR2	VAR3	VAR4	VAR5	VAR6
1.916769684283136e+0				8.255999999999998e+1	Mn16
1.955543442459743e+0				9.027000000000000e+1	Mn17
1.985740741050074e+0				9.677000000000000e+1	Mn18
2.024485667699167e+0				1.058000000000000e+2	Mn19
2.054613054556888e+0				1.134000000000000e+2	Mn20
2.076276255404217e+0				1.192000000000000e+2	Mn21
2.115277591395901e+0				1.304000000000000e+2	Mn22
2.141136090120739e+0				1.384000000000000e+2	Mn23
2.777354313084209e+0				5.989000000000000e+2	Mn24
2.803183888535342e+0				6.355999999999999e+2	Mn25
-2.583757424961878e-1				5.516000000000000e-1	Fe 1
7.627625540421762e-2				1.192000000000000e+0	Fe 2
3.539162309203630e-1				2.259000000000000e+0	Fe 3
6.039018317316714e-1				4.016999999999999e+0	Fe 4
7.427251313046982e-1				5.529999999999999e+0	Fe 5
8.642143304613296e-1				7.315000000000000e+0	Fe 6
9.648251178833888e-1				9.222000000000000e+0	Fe 7
1.044539760392411e+0				1.108000000000000e+1	Fe 8
1.235528446907549e+0				1.720000000000000e+1	Fe 9
1.280805928393667e+0				1.909000000000000e+1	Fe10
1.329397879361043e+0				2.135000000000000e+1	Fe11
1.388278863459639e+0				2.445000000000000e+1	Fe12
1.423081958297231e+0				2.649000000000000e+1	Fe13
1.457730548245998e+0				2.869000000000000e+1	Fe14
1.527114111639805e+0				3.366000000000000e+1	Fe15
1.551449997972875e+0				3.560000000000000e+1	Fe16
1.968482948553935e+0				9.300000000000000e+1	Fe17
1.994361151908001e+0				9.871000000000000e+1	Fe18
2.028977705208778e+0				1.069000000000000e+2	Fe19
2.063333358951749e+0				1.157000000000000e+2	Fe20
2.093421685162235e+0				1.240000000000000e+2	Fe21
2.119585774961784e+0				1.317000000000000e+2	Fe22
2.153814864344529e+0				1.425000000000000e+2	Fe23
2.175511813363448e+0				1.498000000000000e+2	Fe24
2.811843006176477e+0				6.484000000000000e+2	Fe25
2.837714668284911e+0				6.881999999999999e+2	Fe26
-2.062794431864767e-1				6.218999999999999e-1	Co 1
9.725730969341995e-2				1.251000000000000e+0	Co 2
3.956757852699360e-1				2.487000000000000e+0	Co 3
5.691397254724594e-1				3.708000000000000e+0	Co 4
7.670073639498040e-1				5.848000000000000e+0	Co 5
8.745977687031997e-1				7.492000000000000e+0	Co 6
9.787281771384918e-1				9.521999999999998e+0	Co 7
1.068927611682072e+0				1.172000000000000e+1	Co 8
1.128076012668715e+0				1.343000000000000e+1	Co 9
1.304921161900892e+0				2.018000000000000e+1	Co10
1.350054093579030e+0				2.239000000000000e+1	Co11
1.395326393069351e+0				2.485000000000000e+1	Co12
1.440436766105774e+0				2.757000000000000e+1	Co13
1.478566495593843e+0				3.010000000000000e+1	Co14
1.509740015570382e+0				3.234000000000000e+1	Co15
1.575764980536719e+0				3.765000000000000e+1	Co16
1.603469159733839e+0				4.012999999999999e+1	Co17
2.007320952922744e+0				1.017000000000000e+2	Co18
2.046104787246038e+0				1.112000000000000e+2	Co19
2.071882007306125e+0				1.180000000000000e+2	Co20
2.106530853822381e+0				1.278000000000000e+2	Co21
2.132259689531044e+0				1.356000000000000e+2	Co22
2.162564406523019e+0				1.454000000000000e+2	Co23
2.192846115188842e+0				1.559000000000000e+2	Co24
2.214313897424400e+0				1.638000000000000e+2	Co25
2.846337112129805e+0				7.020000000000000e+2	Co26
