#
# RATE05 - February 17 2006 - non-dipole - www.udfa.net
#
# REFERENCE: 
# Woodall, Ag\'undez, Markwick-Kemper, Millar, 2006, A\&A submitted.
#
# We strongly recommend you read the paper before attempting implementation of this data.
#
# *** NOTE: Exercise caution with use of the rate coefficients of the following reactions ***
# *** You need to do something about them, otherwise at 10 K you will get garbage results ***
# 93,172,267,283,289,311,314,353,355,379,421,433,445,448,450,459,468,490,492,493,495,503,
# 504,522,535,542,660,2938,2940,3527-8,3530-1,3546,3547,3549,3550,3552,3553,3575-3580,4001,4002,
# 4007,4008,4105,4109,4133,4551,4578,4586,4588,4589,4590,4594,4597,4598
#
# FORMAT:
# ix,reactant1,reactant2,reactant3,product1,product2,product3,product4,alpha,beta,gamma,clem,tmin,tmax,accuracy,source
#
176,N,C2H3,,CH2CN,H,,,6.20E-11,0.00,0.0,L,10,300,C,SH04
177,N,C2H3,,C2H2,NH,,,1.20E-11,0.00,0.0,L,10,300,C,SH04
178,N,H2CN,,HCN,NH,,,1.00E-10,0.00,200.0,M,200,2500,C,NIST
179,N,HCO,,HCN,O,,,1.70E-10,0.00,0.0,L,10,300,C,
180,N,HCO,,CO,NH,,,5.71E-12,0.50,1000.0,L,33,300,C,
181,N,HCO,,OCN,H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
182,N,C2H5,,H2CN,CH3,,,3.85E-11,0.00,0.0,L,10,300,C,SH04
183,N,C2H5,,C2H4,NH,,,7.15E-11,0.00,0.0,L,10,300,C,SH04
184,N,SiH,,SiN,H,,,1.66E-10,-0.09,0.0,L,10,300,C,SH04
185,N,NO,,N2,O,,,3.75E-11,0.00,26.0,L,100,4000,A,NIST
186,N,SiH2,,HNSi,H,,,8.00E-11,0.17,0.0,L,10,300,C,SH04
187,N,HNO,,NO,NH,,,2.94E-12,0.50,1000.0,L,33,300,C,
188,N,HNO,,N2O,H,,,1.43E-12,0.50,1500.0,L,50,300,C,
189,N,SiH3,,HNSi,H2,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
190,N,PH,,PN,H,,,5.00E-11,0.00,0.0,L,10,300,C,SH04
191,N,O2,,NO,O,,,2.26E-12,0.86,3134.0,L,200,14000,A,NIST
192,N,O2H,,O2,NH,,,1.70E-13,0.00,0.0,L,10,300,C,
193,N,HS,,NS,H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
194,N,HS,,S,NH,,,1.73E-11,0.50,9060.0,L,302,41000,C,MI84
195,N,C3,,CN,C2,,,1.00E-13,0.00,0.0,L,10,300,C,SH04
196,N,C3H,,C3N,H,,,1.70E-11,0.00,0.0,L,10,300,C,SH04
197,N,C2N,,CN,CN,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
198,N,C3H2,,HC3N,H,,,1.00E-13,0.00,0.0,L,10,300,C,SH04
199,N,C3H3,,HC3N,H2,,,8.00E-11,0.00,0.0,L,10,300,C,SH04
200,N,SiC,,Si,CN,,,5.00E-11,0.00,0.0,L,10,300,C,SH04
201,N,SiC,,SiN,C,,,5.00E-11,0.00,0.0,L,10,300,C,SH04
202,N,C2O,,CN,CO,,,5.50E-10,0.00,0.0,L,10,300,C,SH04
203,N,CO2,,NO,CO,,,3.20E-13,0.00,1710.0,M,291,523,A,NIST
204,N,CS,,S,CN,,,3.80E-11,0.50,1160.0,L,38,300,C,MI84
205,N,PN,,P,N2,,,1.00E-18,0.00,0.0,L,10,300,C,MB87
206,N,HCS,,S,HCN,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
207,N,NO2,,N2,O,O,,2.41E-12,0.00,0.0,M,300,300,A,NIST
208,N,NO2,,NO,NO,,,1.00E-12,0.00,0.0,L,10,300,C,SH04
209,N,NO2,,O2,N2,,,1.00E-12,0.00,0.0,L,10,300,C,SH04
210,N,NO2,,N2O,O,,,3.00E-12,0.00,0.0,M,200,2500,C,NIST
211,N,NS,,S,N2,,,3.00E-11,-0.60,0.0,L,10,300,C,SH04
212,N,PO,,P,NO,,,2.55E-12,0.00,0.0,L,10,300,C,MB87
213,N,PO,,PN,O,,,3.00E-11,-0.60,0.0,L,10,300,C,SH04
214,N,C4,,C3,CN,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
215,N,SO,,NS,O,,,4.68E-11,0.50,8254.0,L,275,300,C,MI84
216,N,SO,,S,NO,,,1.73E-11,0.50,750.0,L,25,300,C,MI84
217,N,C4H,,C4N,H,,,1.70E-11,0.00,0.0,L,10,300,C,SH04
218,N,C3N,,CN,C2N,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
219,N,NCCN,,N2,C2N,,,1.00E-11,0.00,0.0,M,300,300,C,NIST
220,N,C5,,CN,C4,,,1.00E-13,0.00,0.0,L,10,300,C,SH04
221,N,C5H,,C5N,H,,,1.70E-11,0.00,0.0,L,10,300,C,SH04
222,N,C4N,,CN,C3N,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
223,N,C5H2,,HC5N,H,,,1.00E-13,0.00,0.0,L,10,300,C,SH04
224,N,S2,,NS,S,,,1.73E-11,0.50,4000.0,L,133,300,C,MI84
225,N,C6,,CN,C5,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
226,N,C6H,,CN,C5H,,,1.00E-13,0.00,0.0,L,10,300,C,SH04
227,N,C5N,,CN,C4N,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
228,N,C7,,CN,C6,,,1.00E-13,0.00,0.0,L,10,300,C,SH04
229,N,C7H,,C7N,H,,,1.70E-11,0.00,0.0,L,10,300,C,SH04
230,N,C7H2,,HC7N,H,,,1.00E-13,0.00,0.0,L,10,300,C,SH04
231,N,C8,,CN,C7,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
232,N,C8H,,CN,C7H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
233,N,C7N,,C2N,C5N,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
234,N,C9,,CN,C8,,,1.00E-13,0.00,0.0,L,10,300,C,SH04
235,N,C9H,,C9N,H,,,1.70E-11,0.00,0.0,L,10,300,C,SH04
