#			
# this is the "table1.dat" from the A&A web site, that goes with the paper			
# >>refer	all	dr	Mazzotta, P., Mazzitelli, G., Colafrancesco, S.,
# >>refercon	& Vittorio, N. 1998, A&AS, 113, 403-409		
#			
# anything starting with a # is a comment and is ignored			
#			
#   1-  8  A8    ---     Ion       Ion's label			
#  10- 20  E11.5 cm3/s   c1        c1 coefficient			
#  22- 32  E11.5 cm3/s   c2        ? c2 coefficient			
#  34- 44  E11.5 cm3/s   c3        ? c3 coefficient			
#  46- 56  E11.5 cm3/s   c4        ? c4 coefficient			
#  58- 64  F7.2  cm3/s   E1        E1 coefficient			
#  66- 72  F7.2  cm3/s   E2        ? E2 coefficient			
#  74- 79  F6.2  cm3/s   E3        ? E3 coefficient			
#  81- 86  F6.2  cm3/s   E4        ? E4 coefficient
#
# NB - this file is tab delimited, so formatting info not needed
#			
Sc 3	1.05E-08	0.00E+00	0.00E+00	0.00E+00	9.92	0	0	0
Sc 4	3.48E-08	0.00E+00	0.00E+00	0.00E+00	41.94	0	0	0
Sc 5	7.37E-08	0.00E+00	0.00E+00	0.00E+00	41.03	0	0	0
Sc 6	9.60E-08	0.00E+00	0.00E+00	0.00E+00	30.08	0	0	0
Sc 7	6.67E-08	0.00E+00	0.00E+00	0.00E+00	37.76	0	0	0
Sc 8	8.30E-08	4.90E-08	0.00E+00	0.00E+00	31.81	49.8	0	0
Sc 9	1.25E-07	0.00E+00	0.00E+00	0.00E+00	27.7	0	0	0
Sc10	2.64E-09	1.23E-07	1.13E-07	0.00E+00	108.18	425	27.04	0
Sc11	5.40E-08	7.74E-09	8.41E-08	0.00E+00	21.27	72.42	296.3	0
Sc12	4.30E-07	0.00E+00	0.00E+00	0.00E+00	461.35	0	0	0
Sc13	2.70E-09	9.56E-08	5.83E-07	0.00E+00	60.66	232.9	414.65	0
Sc14	6.46E-08	5.51E-09	4.39E-07	0.00E+00	227.98	42.01	428.61	0
Sc15	4.06E-08	4.46E-07	0.00E+00	0.00E+00	58.33	481.87	0	0
Sc16	9.93E-08	5.63E-07	0.00E+00	0.00E+00	60.11	509.27	0	0
Sc17	6.89E-08	5.11E-07	0.00E+00	0.00E+00	61.85	531.91	0	0
Sc18	2.33E-07	2.38E-08	5.57E-08	0.00E+00	529.49	21.48	86.16	0
Sc19	1.46E-08	2.10E-08	2.31E-07	0.00E+00	15.76	58.55	675.59	0
Sc20	4.34E-07	0.00E+00	0.00E+00	0.00E+00	3531.1	0	0	0
Sc21	2.64E-07	0.00E+00	0.00E+00	0.00E+00	4288.4	0	0	0
Ti 2	3.39E-09	0.00E+00	0.00E+00	0.00E+00	9.67	0	0	0
Ti 3	1.88E-08	0.00E+00	0.00E+00	0.00E+00	17	0	0	0
Ti 4	3.95E-09	0.00E+00	0.00E+00	0.00E+00	11.19	0	0	0
Ti 5	5.89E-08	0.00E+00	0.00E+00	0.00E+00	46.98	0	0	0
Ti 6	6.77E-08	2.47E-07	0.00E+00	0.00E+00	61.16	25.8	0	0
Ti 7	1.21E-07	1.03E-07	0.00E+00	0.00E+00	107.07	25.89	0	0
Ti 8	8.29E-08	0.00E+00	0.00E+00	0.00E+00	43.08	0	0	0
Ti 9	3.74E-08	1.19E-07	0.00E+00	0.00E+00	131.64	42.28	0	0
Ti10	2.58E-08	1.45E-07	0.00E+00	0.00E+00	142.17	31.7	0	0
Ti11	4.20E-08	9.72E-08	0.00E+00	0.00E+00	114.16	26.44	0	0
Ti12	2.42E-08	1.40E-07	6.04E-08	0.00E+00	131.74	450	22.84	0
Ti13	2.54E-07	2.63E-07	0.00E+00	0.00E+00	366	529	0	0
Ti14	3.22E-07	5.43E-07	4.87E-09	0.00E+00	321.26	518.04	71.17	0
Ti15	8.74E-08	6.23E-09	5.39E-07	0.00E+00	253.28	43.62	487.55	0
Ti16	5.11E-07	4.47E-08	0.00E+00	0.00E+00	542.66	60.95	0	0
Ti17	6.31E-07	1.08E-07	0.00E+00	0.00E+00	577.27	61.85	0	0
Ti18	7.11E-08	5.73E-07	0.00E+00	0.00E+00	61.1	570.26	0	0
Ti19	2.87E-08	5.89E-08	2.90E-07	0.00E+00	22.44	93.06	577.76	0
Ti20	1.84E-08	2.21E-08	2.71E-07	0.00E+00	17.33	74.29	731.57	0
Ti21	4.64E-07	0.00E+00	0.00E+00	0.00E+00	3866.7	0	0	0
Ti22	2.50E-07	0.00E+00	0.00E+00	0.00E+00	4036	0	0	0
5  2	2.82E-09	0.00E+00	0.00E+00	0.00E+00	11.7	0	0	0
5  3	1.15E-08	0.00E+00	0.00E+00	0.00E+00	14.3	0	0	0
5  4	2.08E-08	0.00E+00	0.00E+00	0.00E+00	23.13	0	0	0
5  5	6.14E-08	0.00E+00	0.00E+00	0.00E+00	50.94	0	0	0
5  6	7.31E-08	0.00E+00	0.00E+00	0.00E+00	46.56	0	0	0
5  7	1.85E-07	0.00E+00	0.00E+00	0.00E+00	53.54	0	0	0
5  8	1.84E-07	0.00E+00	0.00E+00	0.00E+00	51.34	0	0	0
5  9	9.91E-08	0.00E+00	0.00E+00	0.00E+00	45.86	0	0	0
5 10	1.21E-07	6.69E-08	0.00E+00	0.00E+00	37.03	72.23	0	0
