SEQ='MG'     NUCCHG=17                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  98844513.3  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2          1S2 2S2 2P6 3P1     (2)1( 0.5)   121229.7 
     3          1S2 2S2 2P6 3P1     (2)1( 1.5)   123422.5 
     4          1S2 2S2 2P6 3D1     (2)2( 1.5)   291472.8 
     5          1S2 2S2 2P6 3D1     (2)2( 2.5)   291754.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  99621259.4 NLVL=   172
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    12   486  3  -1    2.068778E+02   6.372E+09
    13   486  3  -1    2.068745E+02   4.698E+10
    14   486  3  -1    2.068720E+02   7.073E+09
     3   487  3  -1    2.097604E+02   4.907E+11   8.851E+13   8.024E+14   1.424E+11   7.055E+08   1.604E+10   3.014E+07   9.324E+11
     6   487  3  -1    2.071406E+02   4.625E+09
     7   487  3  -1    2.071311E+02   3.367E+10
     9   487  3  -1    2.069033E+02   3.431E+10
    14   487  3  -1    2.068735E+02   5.427E+10
     4   488  3  -1    2.093069E+02   6.296E+11   8.855E+13   8.069E+14   7.122E+10   4.696E+10   1.035E+11   3.091E+11   5.865E+11
     8   488  3  -1    2.071178E+02   3.123E+10
    15   488  3  -1    2.065340E+02   9.593E+10
    16   488  3  -1    2.064700E+02   5.663E+10
     5   489  3  -1    2.088715E+02   8.384E+11   9.030E+13   8.063E+14   4.890E+05   5.139E+08   4.745E+08   4.760E+11   1.196E+11
     6   489  3  -1    2.088637E+02   5.801E+10
     8   489  3  -1    2.088217E+02   1.858E+10
     9   489  3  -1    2.086265E+02   1.419E+10
    10   489  3  -1    2.086218E+02   1.596E+11
    12   489  3  -1    2.086024E+02   1.695E+12
    13   489  3  -1    2.085991E+02   1.671E+11
    14   489  3  -1    2.085967E+02   2.982E+09
     5   490  3  -1    2.088743E+02   6.151E+10   9.037E+13   8.061E+14   5.281E+04   4.244E+08   1.458E+09   3.778E+11   2.200E+11
     6   490  3  -1    2.088666E+02   7.479E+11
     7   490  3  -1    2.088571E+02   4.076E+10
     8   490  3  -1    2.088246E+02   2.270E+11
     9   490  3  -1    2.086294E+02   1.284E+11
    13   490  3  -1    2.086020E+02   1.512E+12
    14   490  3  -1    2.085996E+02   1.253E+11
     6   491  3  -1    2.088725E+02   7.003E+10   9.029E+13   8.062E+14   0.000E+00   2.493E+08   9.289E+08   6.875E+10   5.271E+11
     7   491  3  -1    2.088630E+02   8.141E+11
    14   491  3  -1    2.086054E+02   1.751E+12
     5   493  3  -1    2.089016E+02   1.691E+11   9.246E+13   8.014E+14   2.967E+05   8.636E+09   1.431E+10   2.079E+11   4.881E+11
     6   493  3  -1    2.088938E+02   3.861E+10
     8   493  3  -1    2.088518E+02   5.758E+12
    13   493  3  -1    2.086292E+02   3.614E+10
    15   493  3  -1    2.082680E+02   7.431E+10
     5   494  3  -1    2.089035E+02   1.200E+10   8.797E+13   8.124E+14   1.189E+05   7.835E+05   2.901E+06   1.545E+09   6.179E+08
     6   495  3  -1    2.089002E+02   2.161E+10   8.800E+13   8.124E+14   3.747E+04   1.796E+07   7.575E+07   4.742E+08   6.718E+09
     8   495  3  -1    2.088581E+02   2.114E+10
     7   496  3  -1    2.088965E+02   1.747E+10   8.798E+13   8.124E+14   0.000E+00   4.335E+06   2.390E+07   3.747E+06   3.722E+09
     7   497  3  -1    2.089037E+02   7.030E+09   8.797E+13   8.125E+14   0.000E+00   0.000E+00   7.537E+07   0.000E+00   1.697E+09
    10   498  3  -1    2.087319E+02   6.607E+10   8.819E+13   8.120E+14   1.634E+04   2.606E+07   1.022E+07   2.626E+10   1.618E+10
    12   498  3  -1    2.087125E+02   6.510E+09
     3   499  3  -1    2.115939E+02   3.819E+09   8.889E+13   8.104E+14   6.558E+05   7.359E+07   1.492E+08   5.261E+10   1.246E+11
     9   499  3  -1    2.087369E+02   5.711E+11
    10   499  3  -1    2.087322E+02   4.657E+11
    12   499  3  -1    2.087128E+02   1.375E+10
    13   499  3  -1    2.087095E+02   3.083E+10
     8   500  3  -1    2.089323E+02   8.186E+09   8.831E+13   8.117E+14   1.086E+05   3.953E+07   3.396E+07   3.150E+10   3.230E+10
     9   500  3  -1    2.087371E+02   6.844E+10
    10   500  3  -1    2.087324E+02   6.480E+10
    11   500  3  -1    2.087286E+02   3.875E+11
    13   500  3  -1    2.087097E+02   4.944E+09
     6   501  3  -1    2.089822E+02   3.862E+09   8.799E+13   8.124E+14   4.632E+04   7.271E+07   2.117E+07   1.364E+08   9.728E+08
     9   501  3  -1    2.087449E+02   1.111E+10
    13   501  3  -1    2.087176E+02   1.263E+10
