SEQ='MG'     NUCCHG=13                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  52978290.9  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)    51982.8 
     3          2S2 2P6 3P1         (2)1( 1.5)    52223.9 
     4          2S2 2P6 3D1         (2)2( 1.5)   112940.4 
     5          2S2 2P6 3D1         (2)2( 2.5)   112953.4 

   IC RESOLVED LEVEL INDEXING           BWNR=  53126022.0 NLVL=   922
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   219   163    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)   743986.5*
   220   164    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)   744079.7*
   221   165    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)   744119.0*
   222   166    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)   744193.8*
   223   167    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)   744268.6*
   224   667    2S2 2P5 3P2 3D1     (3)3( 2.0)   744343.9*
   225   668    2S2 2P5 3S1 3D2     (3)3( 3.0)   744903.9*
   226   168    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)   744980.1*
   227   669    2S2 2P5 3P2 3D1     (3)4( 3.0)   745742.5*
   228   670    2S2 2P5 3P2 3D1     (5)2( 0.0)   745805.5*
   229   671    2S2 2P5 3P2 3D1     (5)2( 1.0)   745825.5*
   230   675    2S2 2P5 3P2 3D1     (5)3( 3.0)   745904.5*
   231   676    2S2 2P5 3P2 3D1     (1)4( 4.0)   746286.1*
   232   169    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)   746311.5*
   233   170    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)   746807.6*
   234   677    2S2 2P5 3P2 3D1     (5)3( 1.0)   747012.0*
   235   678    2S2 2P5 3P2 3D1     (5)3( 2.0)   747091.2*
   236   171    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)   747121.1*
   237   679    2S2 2P5 3P2 3D1     (5)2( 3.0)   747288.8*
   238   172    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)   747339.9*
   239   173    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)   747681.0*
   240   174    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)   748204.7*
   241   175    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)   748394.5*
   242   176    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)   748430.3*
   243   682    2S2 2P5 3P2 3D1     (5)1( 1.0)   749148.8*
   244   683    2S2 2P5 3P2 3D1     (3)1( 2.0)   749150.7*
   245   685    2S2 2P5 3P2 3D1     (5)1( 2.0)   749827.3*
   246   686    2S2 2P5 3P2 3D1     (3)1( 1.0)   750112.6*
   247   688    2S2 2P5 3P2 3D1     (1)2( 2.0)   750343.2*
   248   689    2S2 2P5 3P2 3D1     (5)1( 3.0)   750567.4*
   249   690    2S2 2P5 3P2 3D1     (5)4( 3.0)   750713.5*
   250   691    2S2 2P5 3P2 3D1     (3)1( 0.0)   750827.1*
   251   692    2S2 2P5 3P2 3D1     (1)2( 2.0)   751028.6*
   252   693    2S2 2P5 3P2 3D1     (1)1( 1.0)   751496.9*
   253   694    2S2 2P5 3P2 3D1     (3)3( 3.0)   751724.5*
   254   695    2S2 2P5 3P2 3D1     (5)4( 2.0)   751820.4*
   255   696    2S2 2P5 3P2 3D1     (3)2( 3.0)   751875.8*
   256   177    2S2 2P5 3P3         (3)1( 0.0)   752316.4*
   257   697    2S2 2P5 3P2 3D1     (3)3( 4.0)   752456.1*
   258   178    2S2 2P5 3P3         (3)1( 1.0)   753145.5*
   259   698    2S2 2P5 3P2 3D1     (3)2( 2.0)   753377.1*
   260   700    2S2 2P5 3P2 3D1     (3)4( 3.0)   754045.6*
   261   701    2S2 2P5 3P2 3D1     (5)3( 4.0)   754221.0*
   262   179    2S2 2P5 3P3         (3)1( 2.0)   754323.8*
   263   702    2S2 2P5 3P2 3D1     (3)0( 1.0)   754523.2*
   264   703    2S2 2P5 3P2 3D1     (3)2( 1.0)   754919.0*
   265   704    2S2 2P5 3P2 3D1     (5)3( 3.0)   755319.4*
   266   706    2S2 2P5 3P2 3D1     (3)4( 4.0)   755453.0*
   267   707    2S2 2P5 3P2 3D1     (5)3( 2.0)   755613.8*
   268   708    2S2 2P5 3P2 3D1     (5)3( 1.0)   755956.5*
   269   711    2S2 2P5 3P2 3D1     (1)0( 0.0)   756809.8*
   270   713    2S2 2P5 3P2 3D1     (3)2( 3.0)   758179.7*
   271   714    2S2 2P5 3P2 3D1     (3)3( 2.0)   758241.3*
   272   716    2S2 2P5 3P2 3D1     (3)2( 2.0)   759174.6*
   273   717    2S2 2P5 3P2 3D1     (3)2( 1.0)   759286.6*
   274   719    2S2 2P5 3P2 3D1     (3)3( 3.0)   759465.0*
   275   720    2S2 2P5 3P2 3D1     (5)2( 0.0)   760012.4*
   276   721    2S2 2P5 3P2 3D1     (1)2( 2.0)   760142.4*
   277   722    2S2 2P5 3P2 3D1     (5)2( 1.0)   760147.7*
   278   723    2S2 2P5 3P2 3D1     (5)2( 2.0)   760483.1*
   279   724    2S2 2P5 3P2 3D1     (5)2( 3.0)   760615.7*
   280   725    2S2 2P5 3P2 3D1     (5)2( 4.0)   760711.4*
   281   726    2S2 2P5 3P2 3D1     (3)1( 0.0)   761255.4*
   282   727    2S2 2P5 3P2 3D1     (3)1( 1.0)   761476.4*
   283   728    2S2 2P5 3P2 3D1     (3)4( 3.0)   761563.2*
   284   729    2S2 2P5 3P2 3D1     (3)1( 2.0)   761678.5*
   285   730    2S2 2P5 3P2 3D1     (3)2( 1.0)   762435.7*
   286   731    2S2 2P5 3P2 3D1     (3)4( 4.0)   762503.3*
   287   732    2S2 2P5 3P2 3D1     (3)2( 3.0)   762640.2*
   288   733    2S2 2P5 3P2 3D1     (3)2( 2.0)   762688.7*
   289   735    2S2 2P5 3P2 3D1     (3)3( 4.0)   762896.1*
   290   180    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)   763406.9*
   291   181    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)   763462.9*
   292   182    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)   763490.4*
   293   736    2S2 2P5 3P2 3D1     (3)3( 3.0)   763608.6*
   294   737    2S2 2P5 3P2 3D1     (1)3( 3.0)   764150.6*
   295   738    2S2 2P5 3P2 3D1     (1)4( 4.0)   764513.7*
   296   739    2S2 2P5 3P2 3D1     (3)3( 2.0)   764804.5*
   297   740    2S2 2P5 3P2 3D1     (5)0( 2.0)   765412.6*
   298   741    2S2 2P5 3P2 3D1     (3)2( 3.0)   765455.1*
   299   742    2S2 2P5 3P2 3D1     (3)2( 1.0)   765860.1*
   300   743    2S2 2P5 3P2 3D1     (3)2( 2.0)   766232.6*
   301   744    2S2 2P5 3P2 3D1     (1)3( 3.0)   767628.5*
   302   745    2S2 2P5 3P2 3D1     (5)2( 4.0)   767675.1*
   303   746    2S2 2P5 3P2 3D1     (1)2( 2.0)   767703.5*
   304   747    2S2 2P5 3P2 3D1     (5)1( 3.0)   767776.7*
   305   748    2S2 2P5 3S1 3D2     (5)2( 0.0)   767780.7*
   306   749    2S2 2P5 3S1 3D2     (5)2( 1.0)   767865.2*
   307   750    2S2 2P5 3S1 3D2     (5)2( 2.0)   768039.1*
   308   751    2S2 2P5 3S1 3D2     (5)2( 3.0)   768343.6*
   309   752    2S2 2P5 3P2 3D1     (5)1( 2.0)   768545.6*
