SEQ='MG'     NUCCHG=21                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 159388039.4  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   190259.4 
     3          2S2 2P6 3P1         (2)1( 1.5)   196766.7 
     4          2S2 2P6 3D1         (2)2( 1.5)   463272.1 
     5          2S2 2P6 3D1         (2)2( 2.5)   464451.2 

   IC RESOLVED LEVEL INDEXING           BWNR= 161190454.1 NLVL=  1117
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   189   118    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  3764441.1*
   190   119    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  3765041.5*
   191   120    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  3765588.9*
   192   121    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  3765888.1*
   193   122    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  3766817.9*
   194   123    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  3767750.2*
   195   124    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  3769410.6*
   196   125    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  3769667.4*
   197   126    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  3773647.3*
   198   127    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  3773962.8*
   199   128    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  3775221.7*
   200   129    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  3779410.0*
   201   130    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  3787893.7*
   202   131    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  3788776.2*
   203   132    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  3789159.3*
