SEQ='MG'     NUCCHG=19                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 127272625.9  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   156241.8 
     3          2S2 2P6 3P1         (2)1( 1.5)   159921.9 
     4          2S2 2P6 3D1         (2)2( 1.5)   377904.8 
     5          2S2 2P6 3D1         (2)2( 2.5)   378493.4 

   IC RESOLVED LEVEL INDEXING           BWNR= 128510439.4 NLVL=  1111
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   219   149    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2874669.7*
   220   150    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  2877579.3*
   221   151    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2879651.9*
   222   152    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2880290.9*
   223   153    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2881816.7*
   224   154    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  2884350.7*
   225   155    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  2885105.7*
   226   156    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  2885625.3*
   227   157    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  2886367.7*
   228   158    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  2886794.8*
   229   159    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  2887728.2*
   230   160    2S2 2P5 3P3         (3)1( 0.0)  2888922.9*
   231   161    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2889409.9*
   232   162    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2891158.2*
   233   163    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  2891642.1*
   234   164    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  2894247.6*
   235   165    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  2894371.3*
   236   166    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  2895630.1*
   237   167    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  2895998.0*
   238   168    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  2902648.1*
   239   169    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2904371.1*
   240   170    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  2904636.9*
   241   171    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  2905008.3*
   242   172    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  2908064.1*
   243   173    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  2908993.3*
   244   174    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  2911217.6*
   245   175    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  2911546.3*
   246   176    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  2911760.7*
   247   660    2S2 2P5 3P2 3D1     (3)2( 1.0)  2912435.5*
   248   177    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  2913710.1*
   249   661    2S2 2P5 3P2 3D1     (3)2( 2.0)  2913884.2*
   250   662    2S2 2P5 3P2 3D1     (5)2( 0.0)  2914615.6*
   251   663    2S2 2P5 3P2 3D1     (5)2( 1.0)  2915400.0*
   252   664    2S2 2P5 3P2 3D1     (3)2( 3.0)  2915959.1*
   253   665    2S2 2P5 3P2 3D1     (5)2( 2.0)  2916940.4*
   254   666    2S2 2P5 3P2 3D1     (5)2( 3.0)  2919140.3*
   255   178    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  2919327.7*
   256   667    2S2 2P5 3P2 3D1     (5)2( 4.0)  2921521.4*
   257   668    2S2 2P5 3P2 3D1     (5)3( 5.0)  2922017.6*
   258   669    2S2 2P5 3P2 3D1     (3)4( 5.0)  2923332.3*
   259   670    2S2 2P5 3P2 3D1     (3)4( 4.0)  2923459.4*
   260   671    2S2 2P5 3P2 3D1     (1)3( 3.0)  2923888.7*
   261   672    2S2 2P5 3P2 3D1     (5)3( 4.0)  2925159.7*
   262   673    2S2 2P5 3P2 3D1     (5)1( 1.0)  2926026.5*
   263   179    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  2926246.4*
   264   674    2S2 2P5 3P2 3D1     (5)3( 2.0)  2926348.5*
   265   675    2S2 2P5 3P2 3D1     (5)3( 3.0)  2926672.5*
   266   676    2S2 2P5 3P2 3D1     (5)1( 2.0)  2929212.2*
   267   678    2S2 2P5 3P2 3D1     (1)4( 4.0)  2929805.2*
   268   679    2S2 2P5 3P2 3D1     (5)3( 1.0)  2929819.9*
   269   681    2S2 2P5 3P2 3D1     (3)3( 2.0)  2933011.7*
   270   683    2S2 2P5 3P2 3D1     (5)1( 3.0)  2934720.4*
   271   684    2S2 2P5 3P2 3D1     (3)1( 2.0)  2936196.2*
   272   685    2S2 2P5 3P2 3D1     (5)4( 3.0)  2936301.2*
   273   686    2S2 2P5 3P2 3D1     (3)3( 3.0)  2937536.4*
   274   687    2S2 2P5 3P2 3D1     (3)3( 2.0)  2939025.0*
   275   688    2S2 2P5 3P2 3D1     (3)1( 1.0)  2940250.9*
   276   689    2S2 2P5 3P2 3D1     (3)1( 0.0)  2941364.5*
   277   180    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  2941759.1*
   278   690    2S2 2P5 3P2 3D1     (3)3( 3.0)  2941996.7*
   279   181    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2942060.5*
   280   182    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2942380.9*
   281   183    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2942495.0*
   282   691    2S2 2P5 3P2 3D1     (5)4( 2.0)  2942855.8*
   283   692    2S2 2P5 3P2 3D1     (3)3( 4.0)  2944298.4*
   284   693    2S2 2P5 3P2 3D1     (3)4( 3.0)  2944908.4*
