SEQ='MG'     NUCCHG=29                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 325119064.1  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   325693.6 
     3          2S2 2P6 3P1         (2)1( 1.5)   360557.4 
     4          2S2 2P6 3D1         (2)2( 1.5)   813451.6 
     5          2S2 2P6 3D1         (2)2( 2.5)   821532.7 

   IC RESOLVED LEVEL INDEXING           BWNR= 330181359.8 NLVL=  1125
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   157    85    2S2 2P5 3P3         (3)1( 2.0)  8696773.7*
   158    86    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  8699141.5*
   159    87    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  8703471.9*
   160    88    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  8706813.3*
   161    89    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  8708290.6*
   162    90    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  8714237.2*
   163    91    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  8716689.2*
   164    92    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  8717828.0*
   165    93    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  8718868.0*
   166    94    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  8720141.9*
   167    95    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  8720882.5*
   168    96    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  8724392.9*
   169    97    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  8728736.1*
   170    98    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  8734489.9*
   171    99    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  8735990.8*
   172   100    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  8740090.6*
   173   101    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  8740166.1*
   174   102    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  8747876.6*
   175   103    2S2 2P5 3S1 3P1 3D1 (5)4( 2.0)  8750434.4*
   176   104    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  8753773.7*
   177   105    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  8763780.2*
   178   106    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  8765688.3*
   179   107    2S2 2P5 3P3         (3)2( 1.0)  8769272.3*
