SEQ='MG'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 112598657.3  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   139159.2 
     3          2S2 2P6 3P1         (2)1( 1.5)   141824.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   334980.8 
     5          2S2 2P6 3D1         (2)2( 2.5)   335372.8 

   IC RESOLVED LEVEL INDEXING           BWNR= 113591701.4 NLVL=  1113
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   197   127    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  2403534.7*
   198   128    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  2405886.0*
   199   129    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  2408381.4*
   200   130    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  2408546.4*
   201   131    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  2408678.5*
   202   132    2S2 2P5 3P3         (3)1( 2.0)  2410614.8*
   203   133    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2414609.0*
   204   134    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2414841.5*
   205   135    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2416384.7*
   206   136    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  2419507.9*
   207   137    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  2420011.0*
   208   138    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  2423167.7*
   209   139    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  2424000.5*
   210   140    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  2434883.7*
   211   141    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2438599.1*
   212   142    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  2438865.7*
   213   143    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  2439217.9*
   214   144    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2441528.1*
   215   145    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  2444606.9*
   216   146    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  2444842.2*
   217   147    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  2445111.5*
