SEQ='NE'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  83052192.2  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
                                                                          1.130E+09   4.179E+11   5.723E+09   2.803E+11   8.791E+10   7.441E+10
                                                                          0.000E+00   5.345E+10   6.207E+09   2.860E+13   1.154E+13   3.763E+00
                                                                          0.000E+00   5.486E+09   2.599E+09   4.485E+06   1.945E+10   4.815E+07
                                                                          2.665E+10   1.775E+07   1.453E+10   5.927E+09   2.877E+10   5.063E+11
                                                                          1.015E+14   5.357E+13   4.243E+08   2.073E+09   9.265E+02   0.000E+00
                                                                          1.975E+05   1.160E+05   2.428E+08   5.363E+06   6.346E+05   2.501E+09
                                                                          3.128E+09   7.521E+06   5.620E+06   1.278E+09   2.522E+06   4.260E+11
                                                                          6.504E+11   1.626E+10   4.635E+10   1.676E+09   2.471E+09   8.346E+11
                                                                          1.947E+07   2.472E+07   2.992E+11   1.532E+11   1.771E+08   2.861E+04
                                                                          4.187E+13   1.812E+11   3.547E+11   5.058E+07   7.934E+07   0.000E+00
     5    29  3  -1    1.701693E+02   1.778E+13
    23    29  3  -1    1.678175E+02   3.027E+09
    27    29  3  -1    1.676309E+02   3.390E+10
     6    30  3  -1    1.702942E+02   4.331E+12   6.677E+13   7.604E+14   1.682E+13   1.480E+12   5.165E+12   1.672E+05   4.030E+10   5.105E+09
                                                                          8.099E+08   7.732E+09   2.131E+07   2.303E+11   3.779E+11   1.760E+12
                                                                          7.295E+10   0.000E+00   1.393E+12   1.005E+11   5.345E+10   3.134E+11
                                                                          2.110E+11   6.635E+11   1.563E+13   9.980E+12   1.953E+13   8.565E+11
                                                                          2.254E+14   0.000E+00   7.398E+13   4.193E+13   2.715E+13   4.119E+13
                                                                          1.932E+13   1.094E+04   3.294E+02   1.080E+11   2.306E+13   4.233E+10
                                                                          0.000E+00   1.809E+03   3.577E+08   4.444E+04   8.245E+09   2.298E+09
                                                                          7.359E+04   8.317E+02   5.084E+02   4.831E+10   7.749E+10   2.133E+03
                                                                          2.234E+09   4.519E+06   0.000E+00   7.013E+10   4.351E+05   3.764E+05
                                                                          7.186E+10   1.945E+05   9.644E+10   8.793E+10   1.169E+04   2.584E+10
                                                                          1.704E+08   2.137E+10   7.511E+08   1.811E+12   2.863E+11   6.914E+12
                                                                          2.859E+03   3.513E+02   2.072E+13   1.111E+13   1.640E+02   3.365E+12
                                                                          2.714E+02   2.318E+11   2.712E+08   2.570E+12   1.880E+12   1.444E+12
                                                                          1.468E+11   2.152E+11   1.204E+07   1.234E+05   4.709E+04   0.000E+00
                                                                          0.000E+00   2.699E+08   4.164E+07   0.000E+00   3.074E+07   8.128E+07
                                                                          7.189E+07   0.000E+00   4.398E+07   4.982E+07   1.026E+08   8.209E+13
                                                                          7.280E+04   6.080E+09   1.750E+09   3.078E+13   1.006E+13   1.730E+13
                                                                          3.002E+11   0.000E+00   2.336E+10   9.341E+11   3.379E+10   1.749E+10
                                                                          1.004E+11   4.054E+13   3.576E+09   1.843E+11   2.349E+01   0.000E+00
     9    30  3  -1    1.701343E+02   1.407E+13
    11    30  3  -1    1.700543E+02   1.187E+12
    14    30  3  -1    1.700119E+02   2.673E+12
     1    31  3  -1    1.836409E+02   1.418E+11   6.683E+13   7.604E+14   1.500E+13   3.270E+12   5.124E+12   1.524E+10   1.848E+10   2.062E+10
                                                                          4.188E+09   4.523E+09   5.808E+10   1.623E+11   3.848E+11   1.394E+12
                                                                          1.451E+11   4.539E+11   1.128E+12   1.010E+11   4.890E+10   2.356E+11
                                                                          5.841E+11   3.845E+12   1.350E+13   8.186E+12   1.577E+13   1.872E+12
                                                                          1.734E+14   4.499E+13   6.856E+13   5.971E+13   2.435E+13   4.002E+13
                                                                          2.418E+13   8.146E+03   7.936E+10   2.548E+10   2.007E+13   1.947E+10
                                                                          9.203E+03   9.627E+04   1.429E+10   1.815E+09   1.139E+10   7.896E+09
                                                                          8.064E+03   6.719E+08   5.574E+09   2.243E+10   5.554E+10   1.771E+10
                                                                          1.957E+10   4.288E+06   4.818E+05   5.911E+10   4.018E+09   4.345E+05
                                                                          9.809E+10   1.461E+10   7.857E+10   8.650E+10   4.890E+09   2.437E+10
                                                                          2.794E+08   1.982E+10   2.018E+09   1.647E+12   4.504E+11   5.385E+12
                                                                          1.963E+03   1.762E+13   5.527E+12   3.016E+12   5.312E+11   4.452E+12
                                                                          9.026E+11   5.810E+12   2.659E+12   2.895E+11   5.050E+11   1.269E+12
                                                                          1.900E+11   1.747E+11   1.355E+05   8.881E+06   2.918E+05   0.000E+00
                                                                          3.945E+07   1.744E+08   4.712E+07   2.856E+06   4.393E+07   6.961E+07
                                                                          6.756E+07   1.039E+08   3.769E+07   2.297E+08   7.785E+07   6.350E+13
                                                                          1.756E+13   4.761E+09   2.612E+09   2.407E+13   1.864E+13   1.672E+13
                                                                          2.345E+11   6.454E+10   2.543E+11   7.008E+11   2.919E+10   2.312E+10
                                                                          1.031E+11   3.027E+13   1.027E+13   1.428E+11   4.234E+10   0.000E+00
     6    31  3  -1    1.702996E+02   8.960E+12
     8    31  3  -1    1.701743E+02   1.900E+13
     9    31  3  -1    1.701396E+02   2.010E+12
    10    31  3  -1    1.701009E+02   3.210E+12
    11    31  3  -1    1.700596E+02   9.347E+12
    12    31  3  -1    1.700383E+02   2.162E+13
    13    31  3  -1    1.700225E+02   1.459E+11
    14    31  3  -1    1.700173E+02   1.857E+12
    15    31  3  -1    1.691430E+02   4.230E+11
     6    32  3  -1    1.703125E+02   8.242E+12   6.678E+13   7.604E+14   9.880E+12   8.407E+12   5.161E+12   4.121E+10   1.389E+10   3.751E+09
                                                                          1.655E+10   4.749E+09   1.863E+11   1.767E+10   4.053E+11   3.153E+11
                                                                          3.586E+11   1.795E+12   3.439E+11   1.037E+11   4.208E+10   6.258E+09
                                                                          1.685E+12   1.323E+13   7.194E+12   2.896E+12   4.685E+12   4.865E+12
                                                                          2.023E+13   1.777E+14   5.258E+13   1.121E+14   1.611E+13   3.658E+13
                                                                          3.851E+13   8.098E+10   1.351E+10   5.123E+09   1.124E+13   1.356E+09
                                                                          9.473E+04   1.916E+09   2.942E+09   1.463E+09   6.429E+09   4.529E+09
                                                                          3.131E+09   3.393E+10   5.594E+09   1.037E+10   3.190E+08   4.785E+10
                                                                          5.497E+10   1.508E+06   3.664E+06   2.750E+10   1.616E+10   5.015E+08
                                                                          1.375E+11   1.104E+11   3.865E+10   1.729E+10   2.843E+10   4.082E+09
                                                                          4.733E+08   1.573E+10   4.826E+09   1.167E+12   9.333E+11   3.702E+12
                                                                          1.661E+13   1.839E+12   7.516E+11   9.864E+10   8.935E+12   3.928E+12
                                                                          5.746E+12   5.880E+11   1.243E+12   7.745E+11   2.558E+12   4.963E+11
                                                                          3.169E+11   5.542E+10   9.971E+04   2.689E+06   4.702E+06   8.433E+05
                                                                          1.114E+08   7.688E+05   1.153E+07   1.089E+07   6.534E+07   5.390E+07
                                                                          4.988E+07   4.286E+08   1.729E+07   7.514E+08   1.273E+07   5.108E+12
                                                                          7.101E+13   1.016E+09   5.066E+09   8.150E+12   4.118E+13   1.575E+13
