SEQ='NA'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  85304453.4  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  86007309.9 NLVL=   188
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     4    66  3  -1    1.262819E+01   1.953E+10
     5    66  3  -1    1.262667E+01   3.105E+09
     4    67  3  -1    1.265362E+01   1.491E+09   3.262E+10   3.958E+12   3.958E+12
     5    67  3  -1    1.265210E+01   1.813E+10
     1    68  3  -1    1.495752E+01   1.210E+11   1.384E+11   1.544E+14   1.544E+14
     4    68  3  -1    1.269840E+01   5.293E+08
     1    69  3  -1    1.502364E+01   2.212E+11   1.304E+11   1.216E+14   1.216E+14
     4    69  3  -1    1.276452E+01   3.743E+09
     2    71  3  -1    1.412560E+01   9.764E+08   1.735E+09   8.854E+08   8.854E+08
     3    71  3  -1    1.411203E+01   1.076E+08
     3    72  3  -1    1.412713E+01   1.513E+09   2.269E+09   1.753E+09   1.753E+09
     3    77  3  -1    1.423337E+01   1.057E+10   1.121E+10   5.214E+10   5.214E+10
     3    78  3  -1    1.424994E+01   6.173E+07   1.132E+09   6.999E+08   6.999E+08
     2    79  3  -1    1.426358E+01   2.568E+10   1.801E+10   4.650E+10   4.650E+10
     3    79  3  -1    1.425001E+01   8.740E+08
     2    83  3  -1    1.432982E+01   2.142E+10   3.818E+10   7.030E+04   7.030E+04
     3    83  3  -1    1.431624E+01   5.179E+09
     2    84  3  -1    1.436357E+01   1.891E+10   2.050E+10   1.621E+10   1.621E+10
     3    84  3  -1    1.434999E+01   8.933E+09
     3    85  3  -1    1.435763E+01   9.038E+09   8.028E+09   7.550E+09   7.550E+09
     3    86  3  -1    1.436668E+01   3.923E+09   5.217E+09   4.063E+09   4.063E+09
     3    88  3  -1    1.438652E+01   8.504E+09   1.480E+10   1.163E+09   1.163E+09
     3    90  3  -1    1.439591E+01   2.444E+09   1.192E+10   1.523E+09   1.523E+09
     2    92  3  -1    1.441560E+01   9.880E+08   1.443E+10   1.088E+11   1.088E+11
     3    92  3  -1    1.440202E+01   1.571E+09
     3    93  3  -1    1.440368E+01   1.221E+10   1.211E+10   1.061E+10   1.061E+10
