SEQ='MG'     NUCCHG=30                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 350076065.2  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   342599.2 
     3          2S2 2P6 3P1         (2)1( 1.5)   383777.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   859545.3 
     5          2S2 2P6 3D1         (2)2( 2.5)   869257.4 

   IC RESOLVED LEVEL INDEXING           BWNR= 355659006.2 NLVL=  1125
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   254   674    2S2 2P5 3P2 3D1     (1)3( 3.0)  9752057.0*
   255   168    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  9753316.0*
   256   675    2S2 2P5 3P2 3D1     (5)1( 2.0)  9757081.8*
   257   676    2S2 2P5 3P2 3D1     (5)2( 4.0)  9757913.2*
   258   677    2S2 2P5 3P2 3D1     (3)1( 2.0)  9765526.7*
   259   679    2S2 2P5 3P2 3D1     (5)4( 4.0)  9767975.0*
   260   680    2S2 2P5 3P2 3D1     (3)4( 3.0)  9768502.7*
   261   169    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  9769689.1*
   262   681    2S2 2P5 3P2 3D1     (1)0( 0.0)  9772419.0*
   263   170    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  9774615.3*
   264   682    2S2 2P5 3P2 3D1     (5)3( 1.0)  9776030.9*
   265   171    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  9777155.2*
   266   683    2S2 2P5 3P2 3D1     (3)4( 4.0)  9777873.8*
   267   172    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  9778727.4*
   268   684    2S2 2P5 3P2 3D1     (3)2( 3.0)  9778928.4*
   269   685    2S2 2P5 3P2 3D1     (5)4( 5.0)  9781414.7*
   270   686    2S2 2P5 3P2 3D1     (1)1( 1.0)  9785517.5*
   271   687    2S2 2P5 3P2 3D1     (5)1( 3.0)  9785865.5*
   272   688    2S2 2P5 3P2 3D1     (3)3( 2.0)  9786045.5*
   273   689    2S2 2P5 3P2 3D1     (3)3( 2.0)  9789114.7*
   274   173    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  9790998.3*
   275   690    2S2 2P5 3P2 3D1     (3)1( 1.0)  9796021.8*
   276   691    2S2 2P5 3P2 3D1     (3)3( 3.0)  9797015.5*
   277   174    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  9797887.5*
