SEQ='NA'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  62720095.9  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  63076909.1 NLVL=   181
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   167   211    1S2 2S1 2P6 3P1 3D1 (2)3( 3.5)  1460435.6*
   168   215    1S2 2S1 2P6 3P1 3D1 (4)2( 0.5)  1475084.6*
   169   219    1S2 2S1 2P6 3P1 3D1 (2)1( 1.5)  1480107.4*
   170   220    1S2 2S1 2P6 3P1 3D1 (2)1( 0.5)  1480334.4*
   171   221    1S2 2S1 2P6 3P1 3D1 (2)2( 1.5)  1482228.6*
   172   222    1S2 2S1 2P6 3P1 3D1 (2)2( 2.5)  1482368.9*
   173   223    1S2 2S1 2P6 3P1 3D1 (2)3( 3.5)  1505947.5*
   174   224    1S2 2S1 2P6 3P1 3D1 (2)3( 2.5)  1505961.9*
   175   225    1S2 2S1 2P6 3P1 3D1 (2)1( 0.5)  1512708.4*
   176   226    1S2 2S1 2P6 3P1 3D1 (2)1( 1.5)  1512723.6*
   177   238    1S2 2S1 2P6 3D2     (2)2( 2.5)  1581173.9*
   178   239    1S2 2S1 2P6 3D2     (2)2( 1.5)  1581175.2*
   179   240    1S2 2S1 2P6 3D2     (2)1( 0.5)  1583296.6*
   180   241    1S2 2S1 2P6 3D2     (2)1( 1.5)  1583329.5*
   181   242    1S2 2S1 2P6 3D2     (2)0( 0.5)  1610395.5*
  
SI 4     /IC/

  IRSL  IRSL  N   L      DEL(RYD)       B(SEC)      R(SEC)      A(SEC):       1
     1     6  3  -1    7.152743E+00   1.692E+10   8.468E+09   2.188E+10   2.188E+10
     5     6  3  -1    5.709046E+00   3.679E+06
     1     7  3  -1    7.211276E+00   8.737E+09   8.743E+09   2.411E+10   2.411E+10
     4     7  3  -1    5.767959E+00   2.991E+06
     2     8  3  -1    6.950837E+00   1.942E+07   5.191E+07   3.464E+05   3.464E+05
     3     8  3  -1    6.945636E+00   4.220E+07
     3    10  3  -1    7.030846E+00   6.201E+08   4.135E+08   3.230E+07   3.230E+07
     2    11  3  -1    7.049096E+00   1.567E+09   7.978E+08   1.689E+08   1.689E+08
     3    11  3  -1    7.043895E+00   1.407E+07
     2    12  3  -1    7.062180E+00   4.490E+08   5.970E+08   2.933E+09   2.933E+09
     3    12  3  -1    7.056978E+00   7.392E+07
     3    13  3  -1    7.079015E+00   1.805E+09   1.203E+09   5.997E+08   5.997E+08
     2    14  3  -1    7.099066E+00   1.923E+09   2.612E+09   1.105E+09   1.105E+09
     3    14  3  -1    7.093864E+00   1.650E+09
     2    15  3  -1    7.106990E+00   3.316E+08   4.249E+08   1.406E+11   1.406E+11
     3    15  3  -1    7.101788E+00   4.367E+07
     2    16  3  -1    7.134718E+00   1.508E+10   1.006E+10   4.448E+09   4.448E+09
     3    16  3  -1    7.129517E+00   2.525E+09
     2    17  3  -1    7.152366E+00   5.239E+09   9.732E+09   3.159E+10   3.159E+10
     3    17  3  -1    7.147165E+00   2.239E+09
     3    18  3  -1    7.151353E+00   1.659E+10   1.107E+10   2.282E+09   2.282E+09
     2    19  3  -1    7.166652E+00   6.305E+09   9.498E+09   6.589E+07   6.589E+07
     3    19  3  -1    7.161450E+00   6.331E+09
     2    20  3  -1    7.230201E+00   6.190E+09   1.392E+10   1.159E+09   1.159E+09
     3    20  3  -1    7.224999E+00   3.484E+09
     3    21  3  -1    7.395688E+00   7.400E+09   8.102E+09   9.365E+11   9.365E+11
     2    22  3  -1    7.429746E+00   1.044E+10   9.922E+09   5.063E+11   5.063E+11
     3    22  3  -1    7.424545E+00   1.335E+09
     2    23  3  -1    7.473756E+00   3.420E+08   1.051E+10   3.907E+11   3.907E+11
     3    23  3  -1    7.468555E+00   6.912E+09
     2    24  3  -1    7.483496E+00   4.387E+09   1.242E+10   7.565E+11   7.565E+11
     3    24  3  -1    7.478294E+00   2.214E+09
     1    25  3  -1    8.388568E+00   3.522E+09   5.075E+09   1.161E+13   1.161E+13
     4    25  3  -1    6.945251E+00   5.606E+08
     1    26  3  -1    8.402166E+00   5.824E+09   4.463E+09   9.453E+12   9.453E+12
     4    26  3  -1    6.958849E+00   2.310E+08
     5    26  3  -1    6.958469E+00   5.203E+08
     5    28  3  -1    6.981680E+00   1.277E+09   1.033E+09   1.377E+10   1.377E+10
     1    29  3  -1    8.439256E+00   4.319E+08   2.628E+09   1.095E+12   1.095E+12
     4    29  3  -1    6.995939E+00   2.755E+07
     5    29  3  -1    6.995560E+00   4.045E+07
     1    30  3  -1    8.447767E+00   6.072E+07   2.482E+09   3.552E+11   3.552E+11
     4    30  3  -1    7.004450E+00   1.180E+07
     4    31  3  -1    7.011975E+00   1.224E+09   9.443E+08   9.054E+09   9.054E+09
     5    31  3  -1    7.011595E+00   4.588E+07
     2    32  3  -1    7.828814E+00   5.990E+09   2.078E+10   2.712E+14   2.712E+14
     3    32  3  -1    7.823612E+00   4.818E+09
     4    34  3  -1    7.058118E+00   7.924E+07   2.261E+09   1.326E+09   1.326E+09
     5    34  3  -1    7.057738E+00   7.889E+07
     1    35  3  -1    8.506374E+00   8.276E+07   1.528E+09   4.427E+10   4.427E+10
     4    35  3  -1    7.063057E+00   1.637E+08
     5    35  3  -1    7.062678E+00   5.118E+07
     4    36  3  -1    7.065518E+00   1.034E+08   1.350E+09   3.353E+09   3.353E+09
     5    36  3  -1    7.065138E+00   4.828E+08
     1    37  3  -1    8.522220E+00   1.717E+08   2.179E+09   2.852E+11   2.852E+11
     4    37  3  -1    7.078903E+00   2.083E+08
     5    37  3  -1    7.078523E+00   7.963E+07
     1    38  3  -1    8.534469E+00   6.259E+07   2.911E+09   6.422E+11   6.422E+11
     4    38  3  -1    7.091152E+00   1.371E+07
     1    39  3  -1    8.568776E+00   1.867E+07   2.676E+09   2.347E+11   2.347E+11
     4    39  3  -1    7.125459E+00   1.761E+08
     5    40  3  -1    7.144042E+00   1.342E+08   2.666E+09   1.511E+06   1.511E+06
     1    41  3  -1    8.599618E+00   1.079E+08   3.451E+09   6.892E+11   6.892E+11
     5    41  3  -1    7.155922E+00   2.368E+07
     1    42  3  -1    8.599988E+00   1.067E+07   2.650E+09   1.457E+11   1.457E+11
     4    42  3  -1    7.156671E+00   2.488E+06
     1    43  3  -1    8.688015E+00   1.706E+08   4.665E+09   1.714E+10   1.714E+10
     4    43  3  -1    7.244699E+00   8.741E+06
     1    44  3  -1    8.694508E+00   9.871E+08   5.030E+09   4.717E+10   4.717E+10
     4    44  3  -1    7.251191E+00   5.438E+07
     5    44  3  -1    7.250811E+00   1.669E+07
     4    45  3  -1    7.263507E+00   2.587E+07   4.668E+09   1.138E+04   1.138E+04
     5    45  3  -1    7.263127E+00   2.152E+08
     5    47  3  -1    7.280732E+00   4.917E+08   4.785E+09   4.024E+09   4.024E+09
     4    48  3  -1    7.292735E+00   1.137E+09   5.330E+09   6.428E+09   6.428E+09
     5    48  3  -1    7.292356E+00   1.422E+08
     1    49  3  -1    8.748270E+00   6.052E+08   5.733E+09   1.292E+10   1.292E+10
     4    49  3  -1    7.304953E+00   9.704E+08
     5    49  3  -1    7.304574E+00   9.668E+06
     5    50  3  -1    7.318593E+00   2.374E+09   6.206E+09   1.639E+10   1.639E+10
     1    51  3  -1    8.762993E+00   1.337E+10   9.575E+09   7.367E+12   7.367E+12
     4    51  3  -1    7.319676E+00   4.444E+07
     5    51  3  -1    7.319297E+00   3.021E+08
     1    52  3  -1    8.774482E+00   9.927E+09   1.594E+10   1.382E+11   1.382E+11
     4    52  3  -1    7.331165E+00   8.330E+08
     4    53  3  -1    7.331927E+00   3.409E+09   8.043E+09   3.313E+10   3.313E+10
     5    53  3  -1    7.331547E+00   1.366E+09
     1    54  3  -1    8.781393E+00   2.072E+10   1.594E+10   6.460E+11   6.460E+11
     4    54  3  -1    7.338076E+00   6.500E+06
     5    54  3  -1    7.337697E+00   8.145E+08
     1    55  3  -1    8.789912E+00   1.020E+10   1.438E+10   2.633E+13   2.633E+13
     4    55  3  -1    7.346595E+00   7.132E+08
     4    56  3  -1    7.365955E+00   8.507E+09   1.158E+10   6.118E+10   6.118E+10
     5    56  3  -1    7.365575E+00   1.629E+09
     5    57  3  -1    7.383059E+00   1.164E+10   1.294E+10   4.724E+10   4.724E+10
