SEQ='MG'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63076954.8  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)    69764.0 
     3          2S2 2P6 3P1         (2)1( 1.5)    70231.5 
     4          2S2 2P6 3D1         (2)2( 1.5)   158402.6 
     5          2S2 2P6 3D1         (2)2( 2.5)   158438.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  63342701.4 NLVL=   981
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   186   125    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)   994867.9*
   187   126    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)   995801.5*
   188   127    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)   996075.6*
   189   128    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)   997723.8*
   190   129    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)   997741.2*
   191   130    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)   998359.9*
   192   131    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)   998531.4*
   193   132    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)   999587.3*
   194   133    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)   999677.0*
   195   134    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)   999974.9*
   196   135    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  1001135.8*
   197   136    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  1001880.0*
   198   137    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  1002509.1*
   199   138    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  1002658.6*
   200   139    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  1003012.1*
   201   140    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  1014825.1*
   202   141    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  1016538.5*
   203   142    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  1017970.3*
   204   143    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1018349.8*
   205   144    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  1018761.2*
   206   145    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  1019801.3*
   207   146    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1020542.4*
   208   147    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1021266.4*
   209   148    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  1022615.3*
   210   149    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  1023861.7*
   211   150    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  1024595.6*
   212   151    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  1025023.8*
   213   152    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  1025082.0*
   214   153    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  1025599.4*
   215   154    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  1026323.7*
   216   155    2S2 2P5 3P3         (1)2( 2.0)  1026414.1*
   217   156    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  1026524.4*
   218   157    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  1027462.4*
   219   158    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1027773.8*
   220   159    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1028296.3*
   221   160    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1028798.8*
   222   161    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  1030680.6*
   223   162    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  1031857.0*
   224   163    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1031996.0*
   225   164    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  1032411.4*
