SEQ='MG'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  86007310.2  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   104740.3 
     3          2S2 2P6 3P1         (2)1( 1.5)   105995.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   247928.3 
     5          2S2 2P6 3D1         (2)2( 2.5)   248073.7 

   IC RESOLVED LEVEL INDEXING           BWNR=  86586122.6 NLVL=  1096
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   274   688    2S2 2P5 3P2 3D1     (1)4( 4.0)  1715787.3*
   275   689    2S2 2P5 3P2 3D1     (5)4( 2.0)  1715790.7*
   276   690    2S2 2P5 3P2 3D1     (3)1( 1.0)  1716497.5*
   277   691    2S2 2P5 3P2 3D1     (3)3( 2.0)  1717676.7*
   278   692    2S2 2P5 3P2 3D1     (3)1( 0.0)  1717740.5*
   279   693    2S2 2P5 3P2 3D1     (3)3( 3.0)  1718279.3*
   280   180    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  1719606.9*
   281   694    2S2 2P5 3P2 3D1     (3)3( 4.0)  1720337.9*
   282   695    2S2 2P5 3P2 3D1     (5)3( 5.0)  1720370.3*
   283   696    2S2 2P5 3P2 3D1     (3)2( 3.0)  1720469.1*
   284   697    2S2 2P5 3P2 3D1     (1)1( 1.0)  1720643.9*
   285   698    2S2 2P5 3P2 3D1     (1)2( 2.0)  1721150.8*
   286   699    2S2 2P5 3P2 3D1     (5)3( 4.0)  1721188.9*
   287   700    2S2 2P5 3P2 3D1     (3)4( 3.0)  1721234.8*
   288   181    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1724204.6*
   289   182    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1724250.1*
   290   183    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1724270.1*
   291   701    2S2 2P5 3P2 3D1     (5)3( 2.0)  1724659.5*
   292   702    2S2 2P5 3P2 3D1     (5)3( 3.0)  1724725.8*
   293   703    2S2 2P5 3P2 3D1     (5)3( 1.0)  1725233.0*
   294   704    2S2 2P5 3P2 3D1     (3)4( 4.0)  1725806.6*
   295   705    2S2 2P5 3P2 3D1     (3)2( 2.0)  1725961.1*
   296   707    2S2 2P5 3P2 3D1     (3)0( 1.0)  1727118.5*
   297   708    2S2 2P5 3P2 3D1     (3)4( 5.0)  1727574.7*
   298   709    2S2 2P5 3P2 3D1     (3)5( 5.0)  1728260.7*
   299   710    2S2 2P5 3P2 3D1     (3)2( 1.0)  1729107.1*
   300   711    2S2 2P5 3P2 3D1     (3)3( 2.0)  1730170.5*
   301   712    2S2 2P5 3P2 3D1     (1)0( 0.0)  1730179.3*
   302   713    2S2 2P5 3P2 3D1     (3)3( 3.0)  1730974.8*
   303   714    2S2 2P5 3P2 3D1     (3)5( 4.0)  1732225.4*
   304   715    2S2 2P5 3P2 3D1     (5)2( 4.0)  1732402.2*
   305   716    2S2 2P5 3P2 3D1     (3)2( 2.0)  1734369.8*
