SEQ='NA'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  73568537.8  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  74085637.4 NLVL=   188
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   156   188    1S2 2S1 2P6 3P2     (2)2( 2.5)  1694500.2*
   157   189    1S2 2S1 2P6 3P2     (2)2( 1.5)  1694532.7*
   158   190    1S2 2S1 2P6 3P2     (4)1( 0.5)  1698221.7*
   159   191    1S2 2S1 2P6 3P2     (4)1( 1.5)  1698614.3*
   160   192    1S2 2S1 2P6 3P2     (4)1( 2.5)  1699276.6*
   161   193    1S2 2S1 2P6 3P2     (2)1( 0.5)  1708965.8*
   162   194    1S2 2S1 2P6 3P2     (2)1( 1.5)  1709732.4*
   163   199    1S2 2S1 2P6 3P2     (2)0( 0.5)  1739499.0*
   164   200    1S2 2S1 2P6 3S1 3D1 (2)2( 1.5)  1754891.9*
   165   201    1S2 2S1 2P6 3S1 3D1 (2)2( 2.5)  1754952.1*
   166   202    1S2 2S1 2P6 3S1 3D1 (2)2( 1.5)  1784049.2*
   167   203    1S2 2S1 2P6 3S1 3D1 (2)2( 2.5)  1784086.6*
   168   204    1S2 2S1 2P6 3P1 3D1 (4)3( 1.5)  1808680.2*
   169   205    1S2 2S1 2P6 3P1 3D1 (4)3( 2.5)  1808917.9*
   170   206    1S2 2S1 2P6 3P1 3D1 (4)3( 3.5)  1809254.3*
   171   208    1S2 2S1 2P6 3P1 3D1 (2)2( 2.5)  1816432.8*
   172   209    1S2 2S1 2P6 3P1 3D1 (2)2( 1.5)  1816497.8*
   173   210    1S2 2S1 2P6 3P1 3D1 (2)3( 2.5)  1818112.6*
   174   211    1S2 2S1 2P6 3P1 3D1 (2)3( 3.5)  1818745.0*
   175   215    1S2 2S1 2P6 3P1 3D1 (4)2( 0.5)  1834686.9*
   176   219    1S2 2S1 2P6 3P1 3D1 (2)1( 1.5)  1841820.6*
   177   220    1S2 2S1 2P6 3P1 3D1 (2)1( 0.5)  1842167.9*
   178   221    1S2 2S1 2P6 3P1 3D1 (2)2( 1.5)  1844257.7*
   179   222    1S2 2S1 2P6 3P1 3D1 (2)2( 2.5)  1844486.1*
   180   223    1S2 2S1 2P6 3P1 3D1 (2)3( 3.5)  1871818.9*
   181   224    1S2 2S1 2P6 3P1 3D1 (2)3( 2.5)  1871829.8*
   182   225    1S2 2S1 2P6 3P1 3D1 (2)1( 0.5)  1879153.8*
   183   226    1S2 2S1 2P6 3P1 3D1 (2)1( 1.5)  1879165.9*
   184   236    1S2 2S1 2P6 3D2     (2)2( 2.5)  1966753.0*
