SEQ='MG'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  74085659.4  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)    87341.3 
     3          2S2 2P6 3P1         (2)1( 1.5)    88138.6 
     4          2S2 2P6 3D1         (2)2( 1.5)   203504.5 
     5          2S2 2P6 3D1         (2)2( 2.5)   203581.9 

   IC RESOLVED LEVEL INDEXING           BWNR=  74495206.5 NLVL=  1082
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   198   130    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  1305710.4*
   199   131    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  1308716.5*
   200   132    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1309449.4*
   201   133    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1310044.1*
   202   134    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1310227.6*
   203   135    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  1310706.0*
   204   136    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  1313529.8*
   205   137    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  1313592.3*
   206   138    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  1314665.0*
   207   139    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  1315147.6*
   208   140    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  1327900.8*
   209   141    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  1329145.0*
   210   142    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  1331094.6*
   211   143    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1331111.4*
   212   144    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1332342.7*
   213   145    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  1333656.0*
   214   146    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  1334374.6*
   215   147    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1334947.3*
   216   148    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  1337100.6*
   217   149    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  1337846.1*
   218   150    2S2 2P5 3P3         (3)1( 2.0)  1339113.1*
   219   151    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  1339300.6*
   220   152    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  1339524.9*
   221   153    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  1339963.8*
   222   154    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  1340288.1*
   223   155    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  1340483.8*
   224   156    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  1341993.1*
   225   157    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1342561.7*
   226   158    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  1342582.1*
