SEQ='NA'     NUCCHG=17                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  97930480.6  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  98844272.0 NLVL=   190
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     5    29  3  -1    1.434515E+01   6.330E+08
     5    30  3  -1    1.434982E+01   5.175E+09   4.278E+09   1.672E+11   1.672E+11
     1    31  3  -1    1.702311E+01   7.382E+08   5.854E+09   1.230E+12   1.230E+12
     4    31  3  -1    1.436508E+01   1.657E+08
     4    32  3  -1    1.441467E+01   4.357E+09   3.674E+09   8.939E+10   8.939E+10
     5    32  3  -1    1.441211E+01   3.349E+08
     5    33  3  -1    1.442234E+01   9.936E+07   6.009E+09   1.234E+09   1.234E+09
     4    34  3  -1    1.444586E+01   1.736E+08   5.848E+09   3.049E+09   3.049E+09
     5    34  3  -1    1.444329E+01   3.385E+07
     1    36  3  -1    1.718517E+01   5.953E+08   6.676E+09   1.707E+12   1.707E+12
     4    36  3  -1    1.452715E+01   1.308E+08
     4    37  3  -1    1.453141E+01   1.328E+09   3.324E+09   6.743E+10   6.743E+10
     5    37  3  -1    1.452884E+01   1.778E+09
     1    38  3  -1    1.719708E+01   3.727E+08   3.754E+09   3.799E+11   3.799E+11
     4    38  3  -1    1.453905E+01   9.960E+08
     5    38  3  -1    1.453649E+01   5.447E+08
     1    39  3  -1    1.724093E+01   3.578E+08   6.111E+09   9.842E+11   9.842E+11
     4    39  3  -1    1.458290E+01   9.599E+08
     1    40  3  -1    1.728480E+01   9.214E+07   5.720E+09   3.390E+11   3.390E+11
     4    40  3  -1    1.462678E+01   1.986E+07
     5    41  3  -1    1.462518E+01   5.699E+08   5.804E+09   1.684E+09   1.684E+09
     1    42  3  -1    1.728784E+01   5.556E+08   7.553E+09   1.616E+12   1.616E+12
     5    42  3  -1    1.462725E+01   2.918E+08
     1    43  3  -1    1.745463E+01   1.149E+09   9.878E+09   1.055E+10   1.055E+10
     4    43  3  -1    1.479661E+01   5.154E+07
     1    44  3  -1    1.747061E+01   5.998E+09   1.209E+10   2.961E+10   2.961E+10
     4    44  3  -1    1.481259E+01   3.656E+08
     5    44  3  -1    1.481002E+01   8.922E+07
     4    45  3  -1    1.484210E+01   1.727E+08   1.019E+10   3.228E+06   3.228E+06
     5    45  3  -1    1.483954E+01   1.527E+09
