SEQ='NE'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  71808099.1  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
                                                                          0.000E+00   3.691E+09   1.707E+09   1.994E+06   1.424E+10   1.086E+08
                                                                          3.227E+10   1.048E+07   1.481E+10   3.181E+09   2.549E+10   4.464E+11
                                                                          9.744E+13   5.090E+13   4.446E+08   2.174E+09   1.008E+03   0.000E+00
                                                                          2.293E+05   1.318E+05   2.031E+08   7.389E+06   9.548E+05   2.555E+09
                                                                          8.069E+06   3.151E+09   7.305E+06   2.146E+09   2.499E+06   2.500E+10
                                                                          6.269E+10   3.941E+11   5.993E+11   9.798E+08   1.555E+09   7.802E+11
                                                                          2.336E+07   2.997E+07   2.870E+11   1.465E+11   7.669E+07   2.012E+04
                                                                          4.042E+13   1.664E+11   3.271E+11   4.333E+07   6.738E+07   0.000E+00
     5    29  3  -1    1.484261E+02   1.396E+13
    23    29  3  -1    1.464204E+02   2.381E+09
    27    29  3  -1    1.462898E+02   2.413E+10
     6    30  3  -1    1.485322E+02   3.008E+12   4.958E+13   7.289E+14   1.439E+13   1.261E+12   4.419E+12   1.014E+05   4.050E+10   5.454E+09
                                                                          7.575E+07   7.805E+09   1.920E+07   2.104E+11   2.310E+11   1.092E+12
                                                                          4.453E+10   0.000E+00   8.096E+11   7.179E+10   1.833E+11   4.983E+10
                                                                          1.366E+11   5.579E+11   6.834E+12   8.230E+12   2.644E+13   7.551E+11
                                                                          2.141E+14   0.000E+00   7.365E+13   4.325E+13   2.504E+13   3.978E+13
                                                                          1.819E+13   7.532E+03   1.909E+02   8.952E+10   4.153E+10   2.379E+13
                                                                          0.000E+00   5.664E+02   2.787E+04   7.034E+08   4.983E+09   6.291E+09
                                                                          4.285E+04   2.742E+02   3.934E+02   3.546E+10   6.024E+10   2.705E+03
                                                                          1.369E+09   4.216E+06   0.000E+00   5.635E+10   6.083E+10   4.008E+05
                                                                          3.716E+05   8.884E+10   1.986E+05   8.982E+10   1.147E+04   2.354E+10
                                                                          8.877E+07   1.259E+10   4.175E+08   1.638E+12   2.566E+11   6.448E+12
                                                                          1.730E+03   1.439E+02   1.926E+13   1.117E+13   5.553E+00   4.626E+12
                                                                          1.128E+01   4.493E+11   1.478E+11   2.440E+12   1.673E+12   1.079E+12
                                                                          1.285E+11   2.020E+11   7.445E+06   1.543E+05   1.998E+04   0.000E+00
                                                                          0.000E+00   1.543E+08   2.073E+07   0.000E+00   6.145E+06   3.920E+07
                                                                          0.000E+00   4.979E+07   6.559E+07   3.690E+07   4.841E+07   3.238E+09
                                                                          1.809E+09   7.802E+13   6.136E+04   2.954E+13   1.048E+13   1.652E+13
                                                                          2.742E+11   0.000E+00   2.076E+10   8.275E+11   3.050E+10   1.689E+10
                                                                          8.929E+10   3.916E+13   3.504E+09   1.703E+11   1.538E+01   0.000E+00
     9    30  3  -1    1.483964E+02   1.087E+13
    11    30  3  -1    1.483339E+02   4.471E+11
    14    30  3  -1    1.483009E+02   2.201E+12
     1    31  3  -1    1.591396E+02   6.891E+10   4.961E+13   7.288E+14   1.277E+13   2.862E+12   4.394E+12   1.547E+10   1.652E+10   1.974E+10
                                                                          4.501E+09   4.649E+09   5.470E+10   1.481E+11   2.415E+11   8.566E+11
                                                                          8.574E+10   3.084E+11   6.388E+11   7.020E+10   1.378E+11   4.644E+10
                                                                          4.645E+11   3.513E+12   6.138E+12   6.747E+12   2.146E+13   2.037E+12
                                                                          1.628E+14   4.553E+13   6.715E+13   6.008E+13   2.267E+13   3.870E+13
                                                                          2.337E+13   5.446E+03   6.967E+10   2.521E+10   1.630E+10   2.024E+13
                                                                          4.290E+03   5.410E+04   1.382E+09   1.283E+10   5.005E+09   1.046E+10
                                                                          5.273E+03   1.090E+09   4.296E+09   1.716E+10   4.101E+10   1.432E+10
                                                                          1.498E+10   3.746E+06   5.926E+05   4.708E+10   8.541E+10   3.988E+09
                                                                          4.286E+05   7.130E+10   1.612E+10   8.257E+10   4.892E+09   2.091E+10
                                                                          1.601E+08   1.163E+10   1.216E+09   1.483E+12   4.112E+11   5.233E+12
                                                                          1.186E+03   1.679E+13   5.945E+12   2.919E+12   8.111E+11   4.081E+12
                                                                          1.092E+12   5.689E+12   2.662E+12   3.918E+11   5.125E+11   9.697E+11
                                                                          1.707E+11   1.619E+11   2.444E+04   5.924E+06   1.712E+05   0.000E+00
                                                                          2.495E+07   9.417E+07   2.613E+07   1.038E+07   1.587E+07   3.562E+07
                                                                          8.198E+07   4.481E+07   5.099E+07   1.391E+08   3.429E+07   2.629E+09
